file,expression,valence,arousal
Dataset\images\1050.jpg,0,0.0,0.00793651
Dataset\images\1051.jpg,7,-0.569358,0.63147
Dataset\images\1052.jpg,1,0.650794,-0.119048
Dataset\images\1053.jpg,3,0.120983,0.575881
Dataset\images\1056.jpg,7,-0.595238,0.677507
Dataset\images\1057.jpg,2,-0.692137,-0.294473
Dataset\images\1058.jpg,7,0.261324,0.774293
Dataset\images\1059.jpg,7,-0.595238,0.634921
Dataset\images\1060.jpg,4,-0.135501,0.885598
Dataset\images\1061.jpg,2,-0.111111,-0.626984
Dataset\images\1062.jpg,5,-0.674603,0.484127
Dataset\images\1063.jpg,7,-0.626566,0.633528
Dataset\images\1064.jpg,6,-0.396825,0.785714
Dataset\images\1066.jpg,7,-0.650794,0.650794
Dataset\images\1067.jpg,2,-0.723473,-0.252641
Dataset\images\1068.jpg,7,-0.333914,0.367789
Dataset\images\1069.jpg,7,-0.612575,0.618354
Dataset\images\107.jpg,2,-0.842044,-0.246806
Dataset\images\1071.jpg,5,-0.4151,0.642231
Dataset\images\1073.jpg,7,-0.585559,0.65331
Dataset\images\1074.jpg,2,-0.111111,-0.301587
Dataset\images\1076.jpg,7,-0.619048,0.674603
Dataset\images\1077.jpg,3,0.453013,0.747998
Dataset\images\1078.jpg,2,-0.396825,-0.145503
Dataset\images\1081.jpg,2,-0.904762,-0.103175
Dataset\images\1083.jpg,2,-0.716221,-0.285521
Dataset\images\1084.jpg,7,-0.575881,0.648471
Dataset\images\1085.jpg,1,0.556418,-0.0905797
Dataset\images\1086.jpg,1,0.735579,0.07259
Dataset\images\1087.jpg,1,0.873351,0.186248
Dataset\images\1088.jpg,2,-0.0873016,-0.563492
Dataset\images\1089.jpg,2,-0.491718,-0.172533
Dataset\images\109.jpg,2,-0.735579,-0.183895
Dataset\images\1090.jpg,2,-0.933991,-0.319396
Dataset\images\1091.jpg,7,-0.391986,0.358111
Dataset\images\1092.jpg,4,-0.150794,0.761905
Dataset\images\1094.jpg,6,-0.563492,0.261905
Dataset\images\1095.jpg,2,-0.783972,-0.261324
Dataset\images\1096.jpg,2,-0.703071,-0.232919
Dataset\images\1097.jpg,6,-0.325397,0.373016
Dataset\images\1099.jpg,1,0.595238,-0.13169
Dataset\images\1100.jpg,7,-0.285521,0.324235
Dataset\images\1103.jpg,0,-0.28445,-0.121155
Dataset\images\1105.jpg,7,-0.57484,0.708352
Dataset\images\1106.jpg,0,-0.43721,0.115887
Dataset\images\1107.jpg,1,0.505689,0.121155
Dataset\images\1108.jpg,7,-0.411343,0.454897
Dataset\images\1109.jpg,0,0.0238095,0.031746
Dataset\images\1112.jpg,6,-0.198413,0.461525
Dataset\images\1113.jpg,6,-0.246032,0.420635
Dataset\images\1115.jpg,4,-0.150794,0.849206
Dataset\images\1116.jpg,4,-0.0774293,0.716221
Dataset\images\1117.jpg,6,-0.7259,0.430701
Dataset\images\1118.jpg,6,-0.87108,0.246806
Dataset\images\112.jpg,2,-0.650794,-0.285714
Dataset\images\1124.jpg,3,0.214286,0.785714
Dataset\images\1125.jpg,0,0.0,0.00483933
Dataset\images\1127.jpg,3,0.261905,0.825397
Dataset\images\1128.jpg,6,-0.532027,0.821745
Dataset\images\113.jpg,4,-0.179055,0.769454
Dataset\images\1130.jpg,5,-0.764615,0.314557
Dataset\images\1131.jpg,7,-0.459737,0.488773
Dataset\images\1132.jpg,0,0.00862664,-0.00431332
Dataset\images\1133.jpg,6,-0.842044,0.237127
Dataset\images\1135.jpg,6,-0.436508,0.793651
Dataset\images\1136.jpg,7,-0.537956,0.672445
Dataset\images\1138.jpg,2,-0.842624,-0.391064
Dataset\images\114.jpg,1,0.515873,-0.00793651
Dataset\images\1140.jpg,1,0.888889,0.134921
Dataset\images\1141.jpg,0,0.0,0.015873
Dataset\images\1143.jpg,4,-0.0396825,0.984127
Dataset\images\1144.jpg,4,-0.111305,0.769454
Dataset\images\1145.jpg,4,-0.0950652,0.553107
Dataset\images\1146.jpg,0,0.0038279,0.0
Dataset\images\1147.jpg,1,0.510957,0.0895491
Dataset\images\1148.jpg,3,-0.0316056,0.863885
Dataset\images\1149.jpg,2,-0.716011,-0.172533
Dataset\images\1151.jpg,4,-0.087108,0.788811
Dataset\images\1152.jpg,4,-0.0946404,0.831839
Dataset\images\1153.jpg,5,-0.500856,0.264271
Dataset\images\1155.jpg,0,0.0,0.0
Dataset\images\1157.jpg,4,-0.174603,0.761905
Dataset\images\1159.jpg,0,0.015873,0.0
Dataset\images\116.jpg,1,0.765579,0.0459348
Dataset\images\1161.jpg,0,-0.0396825,-0.0634921
Dataset\images\1164.jpg,7,-0.626984,0.634921
Dataset\images\1165.jpg,4,-0.15276,0.790139
Dataset\images\1167.jpg,3,0.280681,0.817847
Dataset\images\1168.jpg,5,-0.753266,0.500421
Dataset\images\1169.jpg,2,-0.493126,-0.254035
Dataset\images\1170.jpg,4,-0.0776398,0.491718
Dataset\images\1171.jpg,1,0.614075,0.0941832
Dataset\images\1172.jpg,4,-0.159394,0.83682
Dataset\images\1173.jpg,3,-0.0316056,0.906026
Dataset\images\1174.jpg,4,-0.171958,0.87963
Dataset\images\1176.jpg,4,-0.087108,0.512969
Dataset\images\1177.jpg,7,-0.630888,0.693544
Dataset\images\1178.jpg,3,0.0421407,0.85335
Dataset\images\1179.jpg,3,0.0453035,0.679553
Dataset\images\118.jpg,2,-0.701703,0.532327
Dataset\images\1180.jpg,7,-0.672667,0.667828
Dataset\images\1181.jpg,1,0.505689,0.0948167
Dataset\images\1183.jpg,5,-0.774293,0.459737
Dataset\images\1184.jpg,3,0.280681,0.542005
Dataset\images\1185.jpg,7,-0.440379,0.498451
Dataset\images\1186.jpg,1,0.479094,0.0774293
Dataset\images\1188.jpg,7,-0.445219,0.469415
Dataset\images\119.jpg,0,-0.0301932,0.0819531
Dataset\images\1190.jpg,5,-0.696864,0.488773
Dataset\images\1191.jpg,7,-0.672667,0.667828
Dataset\images\1192.jpg,1,0.662226,0.493799
Dataset\images\1193.jpg,4,-0.129508,0.851763
Dataset\images\1194.jpg,5,-0.764615,0.425861
Dataset\images\1195.jpg,7,-0.58072,0.658149
Dataset\images\1197.jpg,1,0.543478,-0.0776398
Dataset\images\1199.jpg,0,0.0,0.0
Dataset\images\120.jpg,6,-0.14234,0.340752
Dataset\images\1200.jpg,0,0.0,-0.00793651
Dataset\images\1201.jpg,0,0.00862664,0.0517598
Dataset\images\1203.jpg,7,-0.65331,0.662989
Dataset\images\1204.jpg,4,-0.142857,0.809524
Dataset\images\1206.jpg,2,-0.537166,-0.314557
Dataset\images\1208.jpg,2,-0.65873,-0.31746
Dataset\images\1209.jpg,4,-0.139147,0.71782
Dataset\images\121.jpg,4,-0.111305,0.643631
Dataset\images\1210.jpg,5,-0.730159,0.428571
Dataset\images\1211.jpg,5,-0.140341,0.285521
Dataset\images\1212.jpg,5,-0.352444,0.328947
Dataset\images\1213.jpg,7,-0.412698,0.142857
Dataset\images\1214.jpg,2,-0.452381,-0.238095
Dataset\images\1215.jpg,5,-0.65873,0.47619
Dataset\images\1216.jpg,7,-0.428571,0.333333
Dataset\images\1217.jpg,7,-0.575881,0.682346
Dataset\images\122.jpg,1,0.523809,0.714286
Dataset\images\1222.jpg,6,-0.219979,0.457212
Dataset\images\1223.jpg,5,-0.428571,0.714286
Dataset\images\1224.jpg,0,0.00432115,0.00432115
Dataset\images\1228.jpg,7,-0.469415,0.527487
Dataset\images\1229.jpg,3,0.198413,0.698413
Dataset\images\123.jpg,3,0.222609,0.638792
Dataset\images\1231.jpg,6,-0.15873,0.373016
Dataset\images\1232.jpg,1,0.888889,0.214286
Dataset\images\1233.jpg,6,-0.373016,0.396825
Dataset\images\1235.jpg,0,0.0880902,-0.0251686
Dataset\images\1236.jpg,6,-0.555556,0.349206
Dataset\images\1238.jpg,6,-0.453013,0.811209
Dataset\images\1239.jpg,7,-0.634921,0.706349
Dataset\images\1241.jpg,5,-0.788811,0.464576
Dataset\images\1242.jpg,0,0.0105352,-0.0105352
Dataset\images\1243.jpg,3,0.388524,0.518031
Dataset\images\1244.jpg,0,0.00793651,0.0
Dataset\images\1245.jpg,2,-0.365079,-0.253968
Dataset\images\1246.jpg,1,0.620119,0.0267953
Dataset\images\1247.jpg,5,-0.183895,0.512969
Dataset\images\1248.jpg,1,0.982385,0.043554
Dataset\images\1249.jpg,7,-0.65873,0.634921
Dataset\images\1250.jpg,1,0.555556,-0.238095
Dataset\images\1252.jpg,7,-0.638792,0.65331
Dataset\images\1253.jpg,5,-0.702407,0.418345
Dataset\images\1256.jpg,4,-0.0714286,0.68254
Dataset\images\1258.jpg,7,-0.619435,0.648471
Dataset\images\1259.jpg,1,0.865079,0.253968
Dataset\images\126.jpg,1,0.571429,0.0952381
Dataset\images\1260.jpg,5,-0.4151,0.673559
Dataset\images\1261.jpg,2,-0.507936,-0.206349
Dataset\images\1262.jpg,5,-0.707238,0.392631
Dataset\images\1263.jpg,0,0.0,-0.015873
Dataset\images\1265.jpg,3,0.0427716,0.563159
Dataset\images\1268.jpg,4,-0.0677507,0.808169
Dataset\images\1269.jpg,4,-0.134921,0.730159
Dataset\images\1271.jpg,7,0.150794,0.468254
Dataset\images\1273.jpg,5,-0.769841,0.388889
Dataset\images\1274.jpg,5,-0.896825,0.412698
Dataset\images\1275.jpg,3,0.169377,0.595238
Dataset\images\1276.jpg,0,-0.0714286,-0.047619
Dataset\images\1278.jpg,5,-0.801587,0.333333
Dataset\images\1279.jpg,3,0.391986,0.764615
Dataset\images\128.jpg,0,-0.447745,0.158028
Dataset\images\1280.jpg,3,0.421022,0.861401
Dataset\images\1281.jpg,1,0.51305,0.249054
Dataset\images\1282.jpg,0,-0.00648172,-0.00648172
Dataset\images\1283.jpg,5,-0.788811,0.450058
Dataset\images\1284.jpg,1,0.516224,0.110619
Dataset\images\1285.jpg,3,0.246032,0.753968
Dataset\images\1286.jpg,3,0.203252,0.672667
Dataset\images\1290.jpg,5,-0.65873,0.428571
Dataset\images\1291.jpg,1,0.759144,0.258799
Dataset\images\1293.jpg,2,-0.952381,-0.111111
Dataset\images\1294.jpg,4,-0.126984,0.65873
Dataset\images\1295.jpg,1,0.727301,0.118665
Dataset\images\1298.jpg,7,-0.567423,0.619344
Dataset\images\1299.jpg,0,-0.00793651,0.00793651
Dataset\images\130.jpg,2,-0.238095,-0.34127
Dataset\images\1301.jpg,0,-0.069735,-0.0597729
Dataset\images\1302.jpg,6,-0.609756,0.430701
Dataset\images\1304.jpg,0,-0.00862664,0.0819531
Dataset\images\1306.jpg,4,-0.111111,0.944444
Dataset\images\1307.jpg,4,-0.150693,0.727095
Dataset\images\1308.jpg,4,-0.119546,0.851763
Dataset\images\1309.jpg,1,0.91104,0.271781
Dataset\images\131.jpg,5,-0.674603,0.468254
Dataset\images\1310.jpg,0,-0.0793651,-0.0555556
Dataset\images\1312.jpg,5,-0.725953,0.49045
Dataset\images\1313.jpg,5,-0.694444,0.401139
Dataset\images\1315.jpg,7,-0.658149,0.658149
Dataset\images\1317.jpg,5,-0.764615,0.382307
Dataset\images\1318.jpg,0,0.0,-0.00793651
Dataset\images\1319.jpg,6,-0.112146,0.271739
Dataset\images\1323.jpg,3,0.503291,0.842044
Dataset\images\1324.jpg,5,-0.764615,0.416183
Dataset\images\1326.jpg,2,-0.817847,-0.43554
Dataset\images\1328.jpg,6,-0.46324,0.821877
Dataset\images\1329.jpg,6,-0.34127,0.523809
Dataset\images\1330.jpg,2,-0.846782,-0.249054
Dataset\images\1331.jpg,0,0.01294,-0.00431332
Dataset\images\1333.jpg,6,-0.614595,0.396825
Dataset\images\1334.jpg,3,-0.0790139,0.800674
Dataset\images\1335.jpg,0,0.179055,-0.0822687
Dataset\images\1337.jpg,7,-0.348432,0.391986
Dataset\images\1338.jpg,7,-0.681366,0.681366
Dataset\images\134.jpg,7,-0.295199,0.682346
Dataset\images\1340.jpg,7,-0.309717,0.348432
Dataset\images\1341.jpg,0,-0.28445,0.316056
Dataset\images\1342.jpg,0,-0.00967867,-0.029036
Dataset\images\1343.jpg,1,0.651311,0.0690131
Dataset\images\1344.jpg,6,-0.391986,0.648471
Dataset\images\1345.jpg,6,-0.146653,0.409765
Dataset\images\1347.jpg,7,-0.65331,0.65331
Dataset\images\1349.jpg,1,0.495154,0.13169
Dataset\images\135.jpg,0,0.13169,-0.215971
Dataset\images\1350.jpg,2,-0.666667,-0.365079
Dataset\images\1351.jpg,4,-0.295199,0.783972
Dataset\images\1352.jpg,4,-0.150794,0.84127
Dataset\images\1355.jpg,5,-0.642857,0.753968
Dataset\images\1356.jpg,3,0.401665,0.851723
Dataset\images\1357.jpg,6,-0.300039,0.609756
Dataset\images\1359.jpg,3,0.138427,0.661935
Dataset\images\136.jpg,1,0.900116,-0.140341
Dataset\images\1361.jpg,3,0.015873,0.571429
Dataset\images\1363.jpg,4,-0.106465,0.779133
Dataset\images\1364.jpg,6,-0.421022,0.793651
Dataset\images\1365.jpg,3,0.166667,0.666667
Dataset\images\1366.jpg,6,-0.388889,0.380952
Dataset\images\1367.jpg,6,-0.325397,0.642857
Dataset\images\1368.jpg,5,-0.803858,0.447864
Dataset\images\137.jpg,6,-0.711125,0.458281
Dataset\images\1370.jpg,0,0.190476,0.00793651
Dataset\images\1372.jpg,5,0.212931,0.822687
Dataset\images\1374.jpg,1,0.750268,0.137804
Dataset\images\1376.jpg,4,-0.142857,0.793651
Dataset\images\1377.jpg,5,-0.793651,0.428571
Dataset\images\138.jpg,6,-0.721061,0.425861
Dataset\images\1380.jpg,2,-0.928571,-0.214286
Dataset\images\1381.jpg,7,-0.464576,0.522648
Dataset\images\1383.jpg,3,0.164537,0.604917
Dataset\images\1384.jpg,7,-0.677507,0.687185
Dataset\images\1386.jpg,7,-0.666667,0.642857
Dataset\images\1387.jpg,4,-0.159882,0.723792
Dataset\images\1388.jpg,0,0.015873,0.00793651
Dataset\images\139.jpg,3,0.391986,0.745257
Dataset\images\1390.jpg,3,0.387147,0.885598
Dataset\images\1394.jpg,7,-0.396825,0.474255
Dataset\images\1396.jpg,5,-0.738784,0.459348
Dataset\images\1397.jpg,5,-0.742731,0.495154
Dataset\images\1398.jpg,3,0.566202,0.692025
Dataset\images\14.jpg,7,-0.626984,0.611111
Dataset\images\1400.jpg,2,-0.561363,-0.358111
Dataset\images\1402.jpg,7,-0.634921,0.650794
Dataset\images\1403.jpg,4,-0.194262,0.871688
Dataset\images\1404.jpg,6,-0.277778,0.619048
Dataset\images\1405.jpg,7,-0.15873,0.555556
Dataset\images\1406.jpg,3,0.279372,0.737441
Dataset\images\1407.jpg,0,-0.0793651,-0.047619
Dataset\images\1409.jpg,2,-0.707672,-0.231481
Dataset\images\1410.jpg,6,-0.388889,0.309524
Dataset\images\1411.jpg,2,-0.119048,-0.0634921
Dataset\images\1412.jpg,2,-0.952381,-0.198413
Dataset\images\1414.jpg,0,0.150794,0.0
Dataset\images\1415.jpg,0,0.00793651,0.00793651
Dataset\images\1417.jpg,1,0.912698,0.253968
Dataset\images\1418.jpg,0,0.0,-0.00483933
Dataset\images\1419.jpg,4,-0.126984,0.968254
Dataset\images\142.jpg,5,-0.599551,0.340752
Dataset\images\1420.jpg,6,-0.488145,0.821877
Dataset\images\1421.jpg,2,-0.888889,-0.309524
Dataset\images\1423.jpg,3,0.107833,0.439959
Dataset\images\1428.jpg,3,0.176846,0.569358
Dataset\images\1429.jpg,2,-0.857143,-0.380952
Dataset\images\1430.jpg,4,-0.174338,0.851763
Dataset\images\1431.jpg,3,0.0684787,0.848083
Dataset\images\1432.jpg,1,0.425633,0.144758
Dataset\images\1434.jpg,6,-0.318789,0.483164
Dataset\images\1435.jpg,6,-0.256469,0.486143
Dataset\images\1437.jpg,1,0.827526,0.116144
Dataset\images\1439.jpg,4,-0.266291,0.736216
Dataset\images\144.jpg,5,-0.68254,0.47619
Dataset\images\1440.jpg,6,-0.238095,0.539683
Dataset\images\1441.jpg,3,0.253968,0.857143
Dataset\images\1442.jpg,4,-0.108225,0.548676
Dataset\images\1443.jpg,0,0.015873,0.0
Dataset\images\1444.jpg,5,-0.607691,0.473202
Dataset\images\1445.jpg,4,-0.0532327,0.94367
Dataset\images\1446.jpg,1,0.873016,0.142857
Dataset\images\1447.jpg,2,-0.230159,-0.18254
Dataset\images\1448.jpg,1,0.801953,0.388524
Dataset\images\1449.jpg,4,-0.137804,0.777063
Dataset\images\145.jpg,5,-0.769454,0.522648
Dataset\images\1450.jpg,2,-0.0793651,-0.388889
Dataset\images\1451.jpg,1,0.692025,0.0774293
Dataset\images\1452.jpg,2,-0.865079,-0.484127
Dataset\images\1453.jpg,4,-0.125823,0.909795
Dataset\images\1454.jpg,2,-0.111111,-0.563492
Dataset\images\1455.jpg,6,-0.338753,0.271003
Dataset\images\1456.jpg,0,0.252844,-0.347661
Dataset\images\1457.jpg,5,-0.873016,0.428571
Dataset\images\1458.jpg,0,0.00862664,0.00862664
Dataset\images\1459.jpg,1,0.52381,0.00793651
Dataset\images\146.jpg,1,0.498451,0.0822687
Dataset\images\1460.jpg,0,0.00862664,0.0258799
Dataset\images\1462.jpg,0,0.304878,0.140341
Dataset\images\1463.jpg,4,-0.100675,0.704722
Dataset\images\1464.jpg,1,0.874421,-0.0895491
Dataset\images\1465.jpg,4,-0.119048,0.738095
Dataset\images\1466.jpg,3,0.199051,0.876589
Dataset\images\1468.jpg,1,0.866977,0.107833
Dataset\images\1469.jpg,2,-0.658149,-0.212931
Dataset\images\147.jpg,0,-0.0448296,0.0547918
Dataset\images\1470.jpg,7,-0.47619,0.674603
Dataset\images\1472.jpg,0,-0.00483933,0.0677507
Dataset\images\1473.jpg,5,-0.208091,0.179055
Dataset\images\1476.jpg,6,-0.705858,0.43721
Dataset\images\1478.jpg,4,-0.0862664,0.405452
Dataset\images\148.jpg,5,-0.597729,0.483164
Dataset\images\1480.jpg,2,-0.721061,-0.314557
Dataset\images\1481.jpg,6,-0.285521,0.561363
Dataset\images\1485.jpg,6,-0.293651,0.563492
Dataset\images\1486.jpg,4,-0.121359,0.502774
Dataset\images\1487.jpg,5,-0.68254,0.460317
Dataset\images\1488.jpg,1,0.838033,0.0234962
Dataset\images\149.jpg,2,-0.674603,-0.460317
Dataset\images\1491.jpg,1,0.832471,0.0992063
Dataset\images\1492.jpg,6,-0.732195,0.426675
Dataset\images\1494.jpg,5,-0.696864,0.421022
Dataset\images\1496.jpg,4,-0.087108,0.885598
Dataset\images\1498.jpg,5,-0.444444,0.674603
Dataset\images\1499.jpg,5,-0.690476,0.388889
Dataset\images\15.jpg,6,-0.539683,0.357143
Dataset\images\150.jpg,0,-0.00431332,-0.00862664
Dataset\images\1500.jpg,4,-0.0517598,0.746204
Dataset\images\1501.jpg,1,0.774293,0.0774293
Dataset\images\1502.jpg,2,-0.692025,-0.367789
Dataset\images\1504.jpg,7,-0.47619,0.642857
Dataset\images\1505.jpg,0,0.015873,0.031746
Dataset\images\1506.jpg,0,-0.400337,0.136957
Dataset\images\1507.jpg,4,-0.0873016,0.912698
Dataset\images\1509.jpg,0,0.166667,-0.166667
Dataset\images\151.jpg,1,0.539683,0.0
Dataset\images\1510.jpg,3,0.120773,0.582298
Dataset\images\1511.jpg,5,-0.801587,0.396825
Dataset\images\1512.jpg,3,0.266163,0.706543
Dataset\images\1513.jpg,7,-0.119048,0.563492
Dataset\images\1514.jpg,7,-0.535454,0.613433
Dataset\images\1515.jpg,4,-0.0931677,0.766046
Dataset\images\1517.jpg,1,0.484127,0.0238095
Dataset\images\1518.jpg,2,-0.746204,-0.288992
Dataset\images\1519.jpg,7,-0.428571,0.484127
Dataset\images\1520.jpg,4,-0.144451,0.821877
Dataset\images\1523.jpg,2,-0.500345,-0.1294
Dataset\images\1524.jpg,2,-0.501455,-0.0459348
Dataset\images\1526.jpg,7,-0.672667,0.658149
Dataset\images\1529.jpg,4,-0.206349,0.888889
Dataset\images\153.jpg,3,-0.043554,0.416183
Dataset\images\1530.jpg,3,0.203252,0.813008
Dataset\images\1531.jpg,2,-0.81746,-0.365079
Dataset\images\1532.jpg,0,0.00431332,-0.0474465
Dataset\images\1533.jpg,2,-0.790139,-0.28445
Dataset\images\1534.jpg,5,-0.735579,0.474255
Dataset\images\1535.jpg,4,-0.126984,0.746032
Dataset\images\1536.jpg,2,-0.711382,-0.401665
Dataset\images\1537.jpg,7,-0.421022,0.658149
Dataset\images\1539.jpg,6,-0.367789,0.600077
Dataset\images\154.jpg,1,0.774293,0.111305
Dataset\images\1540.jpg,3,0.529387,0.743725
Dataset\images\1541.jpg,1,0.784719,0.222018
Dataset\images\1542.jpg,3,0.185473,0.737578
Dataset\images\1544.jpg,2,-0.690131,-0.241546
Dataset\images\1545.jpg,1,0.563492,0.0
Dataset\images\1546.jpg,5,-0.698413,0.404762
Dataset\images\1547.jpg,2,-0.825397,-0.396825
Dataset\images\1549.jpg,1,0.750268,0.153116
Dataset\images\155.jpg,4,-0.0503373,0.963959
Dataset\images\1550.jpg,1,0.753266,-0.0737463
Dataset\images\1552.jpg,5,-0.396825,0.31746
Dataset\images\1553.jpg,3,0.150693,0.866486
Dataset\images\1554.jpg,2,-0.522648,-0.285521
Dataset\images\1555.jpg,5,-0.604961,0.155561
Dataset\images\1556.jpg,7,-0.672667,0.672667
Dataset\images\1557.jpg,4,-0.030248,0.803733
Dataset\images\1560.jpg,0,-0.353271,0.29036
Dataset\images\1561.jpg,1,0.677507,0.029036
Dataset\images\1564.jpg,7,-0.198413,0.532327
Dataset\images\1565.jpg,3,0.111111,0.507936
Dataset\images\1566.jpg,6,-0.428724,0.708161
Dataset\images\1567.jpg,6,-0.65331,0.430701
Dataset\images\1569.jpg,7,-0.256485,0.261324
Dataset\images\157.jpg,1,0.515873,0.0
Dataset\images\1570.jpg,1,0.753968,0.0793651
Dataset\images\1571.jpg,5,-0.695322,0.479351
Dataset\images\1573.jpg,1,0.516224,0.100084
Dataset\images\1576.jpg,0,0.0238095,0.00793651
Dataset\images\1577.jpg,7,-0.800737,0.499575
Dataset\images\1578.jpg,1,0.521492,0.110619
Dataset\images\1579.jpg,7,-0.634921,0.666667
Dataset\images\158.jpg,0,-0.0967867,0.271003
Dataset\images\1580.jpg,1,0.775646,-0.0821018
Dataset\images\1581.jpg,1,0.543478,-0.0603865
Dataset\images\1584.jpg,5,-0.793651,0.452381
Dataset\images\1586.jpg,4,-0.174603,0.936508
Dataset\images\1587.jpg,0,-0.119546,0.114565
Dataset\images\1588.jpg,4,-0.0629113,0.730739
Dataset\images\1589.jpg,6,-0.460317,0.761905
Dataset\images\1590.jpg,2,-0.214286,-0.301587
Dataset\images\1591.jpg,0,0.00793651,-0.015873
Dataset\images\1592.jpg,5,-0.595238,0.482625
Dataset\images\1593.jpg,7,-0.304878,0.348432
Dataset\images\1595.jpg,4,-0.111305,0.817847
Dataset\images\1596.jpg,3,0.37358,0.577804
Dataset\images\1598.jpg,4,-0.0338753,0.832365
Dataset\images\1599.jpg,2,-0.813008,-0.338753
Dataset\images\16.jpg,1,0.537295,0.115887
Dataset\images\160.jpg,7,-0.449678,0.465273
Dataset\images\1600.jpg,1,0.793651,-0.014518
Dataset\images\1601.jpg,3,0.231774,0.83228
Dataset\images\1602.jpg,7,-0.65331,0.658149
Dataset\images\1603.jpg,1,0.881514,0.155561
Dataset\images\1604.jpg,7,-0.614595,0.667828
Dataset\images\1606.jpg,0,-0.0038279,-0.0153116
Dataset\images\1609.jpg,2,-0.79199,-0.219167
Dataset\images\1610.jpg,1,0.855587,0.235503
Dataset\images\1611.jpg,7,-0.65457,0.658398
Dataset\images\1613.jpg,3,0.384774,0.872844
Dataset\images\1614.jpg,2,-0.293651,-0.396825
Dataset\images\1615.jpg,5,-0.642231,0.736216
Dataset\images\1616.jpg,5,-0.477757,0.665727
Dataset\images\1617.jpg,7,-0.436508,0.309524
Dataset\images\1618.jpg,1,0.563632,0.173831
Dataset\images\162.jpg,4,-0.0532327,0.94851
Dataset\images\1621.jpg,7,-0.222609,0.237127
Dataset\images\1622.jpg,4,-0.0873016,0.595238
Dataset\images\1623.jpg,0,-0.058072,-0.0774293
Dataset\images\1624.jpg,0,-0.00862664,0.0
Dataset\images\1625.jpg,1,0.595238,0.0634921
Dataset\images\1626.jpg,7,-0.307057,0.352361
Dataset\images\1627.jpg,6,-0.483164,0.821877
Dataset\images\1628.jpg,6,-0.585559,0.624274
Dataset\images\1629.jpg,2,-0.573671,-0.181159
Dataset\images\1631.jpg,4,-0.0952381,0.515873
Dataset\images\1632.jpg,2,-0.866241,-0.353271
Dataset\images\1633.jpg,7,-0.474255,0.50813
Dataset\images\1635.jpg,0,-0.047619,-0.047619
Dataset\images\1636.jpg,3,0.0,0.571429
Dataset\images\1637.jpg,2,-0.872872,-0.369458
Dataset\images\1638.jpg,1,0.703071,0.0603865
Dataset\images\1639.jpg,6,-0.438334,0.806934
Dataset\images\1640.jpg,0,0.0238095,-0.00793651
Dataset\images\1641.jpg,4,-0.214286,0.563492
Dataset\images\1643.jpg,0,0.01294,-0.0172533
Dataset\images\1644.jpg,1,0.648471,0.0
